lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
2373	727	148	195	103		To ratify, confirm and continue the incorporation of the borough of Westville, in the county of Gloucester, and to fix the boundaries and corporate name thereof.	1924-03-08				t					\N
2374	727	142	974	255		To incorporate the borough of Wrightstown, in the county of Burlington and State of New Jersey.	1918-03-04				t					\N
2375	732	172	2097	2		At an election held November 2, 1948, in the Borough of Barnegat City in the County of Ocean, the corporate name was changed to Barnegat Light.	1948-11-10				f					\N
2376	732	163	1089	3		At a Special Election held in the Borough of Spotswood, Middlesex County, September 12, 1939, on the question: "Shall Chapters 70 to 76 of the title 'Municipalities and Counties' of the Revised Statutes (40:70-1 et seq.), providing for Commission Form of Government be adopted?" was adopted [...].	1939-09-16				f					\N
2377	727	128	29	12		To incorporate the borough of Haddon Heights, in the county of Camden.	1904-03-02				t					\N
2378	732	171	1403	3		At a Special Election held in the Borough of Seaside Park, Ocean County on April 29, 1947, for the adoption or rejection of Chapters 70 to 76 of the Title Municipalities and Counties of the Revised Statutes (40:70-1 et seq.) providing for the Commission Form of Government was defeated [...].	1947-05-02				f					\N
2379	727	143	144	75		To incorporate the borough of Brielle, in the county of Monmouth.	1919-04-10				t					\N
2380	732	151	893	1		"The Township of Franklin in the County of Bergen" changed its name to "The Township of Wyckoff in the County of Bergen" [...]. 	1926-11-15				f					\N
2382	727	102	44	39		To amend an act entitled "An act in relation to cities incorporated within the limits of township but not set off therefrom," approved March first, one thousand eight hundred and seventy-seven.	1878-03-04				f					\N
2384	727	128	65	41		To set off territory from the township of Livingston, in the county of Essex, and annex the same to the borough of Essex Fells, in said county, and to set off territory from the said borough of Essex Fells and annex the same to the township of Livingston.	1904-03-16				t					\N
2385	727	146	240	139		To incorporate the "Borough of Lincoln Park," in the county of Morris.	1922-03-11				t					\N
2386	732	141	1057	2		"The Mayor and Council of the Borough of Vineland" changed to "The Borough of Vineland," January 19, 1917.					f					\N
2387	732	158	927	1		At a special election held on May 23, 1933, in the city of Hackensack, Bergen county, the municipal manager form of government was adopted.	1933-05-31				f					\N
2388	727	109	417	210		To establish a new township in the county of Bergen to be called the township of Orvil.	1885-04-20	1886-01-01			t					\N
2389	732	148	755	2		"An ordinance to annex to the Township of Woodbridge in the County of Middlesex, certain lands heretofore situated in the Borough of Carteret, in said county," was adopted by the Township Committee of Woodbridge Township, February 18, 1924.					f					\N
2390	732	176	1413	1		At a Special Election held in Randolph township, Morris county, on September 18, 1951, the provisions of Chapter 259, Laws of 1951, creating the borough of Victory Gardens was adopted.	1951-09-26				f					\N
2391	727	37:2:Public	10	0		To incorporate into a township, a part of the townships of Great-Eggharbour & Weymouth, in the county of Gloucester, by the name of Hamilton.	1813-02-05				f					\N
2392	727	169	799	267		To annex to and consolidate with the township of Lower, in the county of Cape May, the borough of South Cape May and the borough of North Cape May in said county.	1945-04-30				f					\N
2393	727	124	293	105		To extend the territorial boundaries of the borough of Sea Side Park, in the county of Ocean, by the annexation of a portion of the township of Berkeley in said county.	1900-03-23				t					\N
2394	727	135	115	83		To annex to the village of South Orange, in the county of Essex, a portion of the township of South Orange, in the county of Essex.	1911-03-30				t					\N
2396	727	142	275	121		To annex to the borough of Pompton Lakes, in the county of Passaic, parts of the township of Pompton, in the county of Passaic.	1918-02-23				t					\N
2397	732	151	897	6		At a Special Election held in the Second District of the Township of Saddle River, Bergen County, April 18, 1916, in accordance with Chapter 135, Laws of 1916, the creation of the Borough of East Paterson was adopted.	1927-04-25				f					\N
2398	727	149	374	143		To ratify and confirm the incorporation of Pleasantville, in the county of Atlantic, as a city and to continue its operation as a city.	1925-03-14				t					\N
2399	727	128	55	34		To annex a portion of the township of Haddon, in the county of Camden, to the Borough of Haddonfield.	1904-03-16				t					\N
2400	727	100	492	67		To create a new township, to be called the township of Sayreville, in the county of Middlesex.	1876-04-06				t					\N
2401	727	99:Public	206	78		To revise the Charter of the City of Cape May.	1875-03-03	1875-03-08			t					\N
2402	727	95	1255	489		To establish the Line between the Counties of Middlesex and Union.	1871-04-05				f					\N
2403	727	84	97	43		A supplement to the act entitled, "An act to create the county of Union."	1860-02-16	1860-04-09			f					\N
2404	727	32	90	24		To set off a part of the borough of Elizabeth in the county of Essex, and to incorporate the same into a separate township to be called the township of Union.	1808-11-23				f					\N
2405	727	118	591	77		To set over a part of Elk township, in Gloucester county, to become a part of Clayton township.	1894-04-24				t					\N
2406	727	95	1185	450		To straighten the boundary lines between the townships of Oxford and Washington, in the county of Warren.	1871-04-04				f					\N
2407	727	63	67	0		To set off the township of Belleville, in the county of Essex.	1839-02-23	1839-04-08			f					\N
2408	727	194:1	731	206		To provide a special charter for the town of Hackettstown, in the county of Warren.	1970-09-23				f					\N
2409	727	130	651	294		To annex to the township of Pequannock, in the county of Morris, a part or portion of the borough of Butler, in said county.	1906-05-23				t					\N
2411	727	139	475	270		To annex to the town of Westfield, in the county of Union, a part of the township of Fanwood in the county of Union.	1915-04-12				t					\N
2412	727	91	536	257		A supplement to an act entitled "An act to alter and amend the charter of the borough of Bordentown in the county of Burlington."	1867-04-03				f					\N
2413	727	147	203	109		To incorporate the "Borough of Little Silver," in the county of Monmouth.	1923-03-19				t					\N
2414	727	87	347	188		To revise and amend the Charter of the City of New Brunswick.	1863-03-18				f					\N
2415	727	199:2	2112	496		Providing a uniform method for the fixing and determination of municipal ward boundaries by ward commissioners and revising parts of the statutory law pertaining thereto.	1982-01-12				f					\N
2416	727	130	547	264		To change the boundary line between the city of East Orange, in the county of Essex, and the village of South Orange, in the county of Essex.	1906-05-17				t					\N
2417	732	151	897	4		At a special election held in the Borough of Oaklyn on January 18, 1927, the Commission Form of Government was abandoned.	1927-01-21				f					\N
2418	729	151	810	7		For the appointment of a commission to ascertain and fix the boundary line between the counties of Ocean and Monmouth in this State.	1927-03-28				f					\N
2419	727	189	861	203		Resettling a part of the boundary line between the counties of Hunterdon and Somerset.	1965-12-17				t					\N
2420	727	95	387	124		To set off a part of the township of Newton, in the county of Camden, and annex the same to the township of Haddon in the county aforesaid.	1871-03-07				f					\N
2421	727	102	568	128		To define and establish the boundary line at the village of Kingston, between the counties of Middlesex and Somerset.	1878-03-29				t					\N
2422	727	81	29	16		To set off from the township of Raritan, in the county of Monmouth, a new township, to be called the township of Holmdel, and a new township to be called the township of Matavan.	1857-02-23				f					\N
2423	727	56	177	0		To authorize the setting off fifteen acres of land in the township of Readington, in the county of Hunterdon, to the township of Tewksbury, in said county.	1832-03-15				f					\N
2424	732	186	1349	2		At the General Election of November 6, 1962 the name of the Township of Atlantic in the County of Monmouth was changed to Colts Neck Township in the County of Monmouth.	1962-11-15				f					\N
2425	727	101	364	43		To set off from the township of Woolwich, in the county of Gloucester, a new township, to be called the township of West Woolwich.	1877-03-07				t					\N
2426	727	124	152	83		Concerning consolidated cities and annexed municipalities and townships and portions thereof.	1900-03-22				f					\N
2427	727	72	172	0		To establish a new township in the county of Warren, to be called the township of Frelinghuysen.	1848-03-07	1848-04-10			f					\N
2428	727	134	238	140		To amend an act eititled "An act to enable adjoining municipalities other than cities, lying in the same county, to consolidate and form a city," approved April eleventh, one thousand nine hundred and eight.	1910-04-08				f					\N
2429	727	103	424	50		To annex a portion of the township of West Hoboken, in the county of Hudson, to the township of Weehawken, in said county.	1879-03-04				t					\N
2430	727	174	250	133		To incorporate the borough of New Shrewsbury in the county of Monmouth.	1950-05-12				t					\N
2431	727	154	343	100		To annex a part of the township of Matawan in the county of Monmouth to the borough of Matawan in the county of Monmouth.	1930-04-14				t					\N
2432	732	163	1085	2		By action of the Township Committee of "The Inhabitants of the Township of Hanover, in the County of Morris" the name was changed to "Township of Hanover," February 21, 1939.	1939-03-02				f					\N
2433	727	109	413	94		To annex a part of the township of South Brunswick, in the county of Middlesex, to the township of Cranbury, in said county.	1885-03-19				t					\N
2434	727	148	487	222		To incorporate the "Borough of South Belmar," in the county of Monmouth.	1924-03-12				t					\N
2435	727	127	365	186		To incorporate the borough of Farmingdale, in the county of Monmouth.	1903-04-08				t					\N
2436	727	90	427	184		A supplement to an act entitled "An act to incorporate Morristown," approved April sixth, eighteen hundred and sixty-five.	1866-03-15				f					\N
2437	727	68	161	0		To incorporate parts of the townships Pequanack and Hanover, in the county of Morris, into a separate township to be called the township of Rockaway.	1844-03-05	1844-04-08			f					\N
2438	727	64	90	0		To erect a part of the township of Nottingham, in the county of Mercer, into a borough, to be called "the Borough of South Trenton."	1840-02-28				f					\N
2439	727	174	939	279		To incorporate "West Atlantic" in the township of Egg Harbor, in the county of Atlantic, as a borough, and fixing the boundaries thereof.	1950-07-03				t					\N
2440	727	149	56	11		Annexing to the borough of Keansburg in the county of Monmouth a part of the township of Middletown, in the county of Monmouth.	1925-02-26				t					\N
2441	727	197:2	1426	402		To relocate, fix and establish a portion of the boundary line between the township of Millburn and the township of Livingston in the county of Essex.	1978-02-23				t					\N
2442	732	144	1015	1		"The Mayor and Council of the Borough of Fairview" changed to "Borough of Fairview," [...].	1919-06-18				f					\N
2443	732	147	587	7		"An ordinance to provide for the annexation of all that portion of the Village of South Orange, New Jersey, bounded on the North by the center line of Marion Avenue, on the east by the present boundary line between the Village of South Orange and the City of Newark, on the South by the center line of South Orange Avenue, on the West by a new boundary line distant one hundred feet easterly from the easterly line of Holland Street, to the City of Newark," was adopted by the Board of Commissioners of the City of Newark May 16, 1922.					f					\N
2444	727	154	393	129		To amend an act entitled "An act to enable adjoining municipalities, other than cities, lying in the same county, to consolidate and form a city," approved March twentieth, one thousand nine hundred and twenty-three.	1930-04-15				f					\N
2445	727	137	756	342		To annex a portion of the township of Hanover, in the county of Morris, to the borough of Florham Park, in the county of Morris.	1913-04-14				t					\N
2447	732	148	755	3		"An ordinance to annex to the Borough of Carteret in the County of Middlesex certain lands heretofore situated in the Township of Woodbridge in said County," was adopted by the Borough of Carteret, February 18, 1924.					f					\N
2448	732	155	1393	2		"The Inhabitants of the Township of Hanover in Morris County," has changed its name to "The Township of Hanover in the County of Morris," [...].	1931-01-10				f					\N
2449	727	152	707	277		To annex a portion of the township of Pohatcong, in the county of Warren, to the town of Phillipsburg, in the county of Warren.	1928-04-03				t					\N
2450	727	98	241	1380		A supplement to an act entitled "An act to set off from the township of Belleville, in the county of Essex, a new township, to be called the township of Franklin," approved February eighteenth, one thousand eight hundred and seventy-four.	1874-03-05				f					\N
2451	727	127	120	82		To fix and define the boundary line between the borough of Anglesea and the borough of Wildwood, in the county of Cape May and state of New Jersey.	1903-03-26				t					\N
2452	732	141	1057	5		"Borough of North Wildwood" changed to "City of North Wildwood," April 30, 1917.					f					\N
2453	727	202:2	1046	181		Concerning the annexation of certain territory between the Township of Gloucester, in the County of Camden, and the Township of Washington in the County of Gloucester, and changing the boundaries between Camden county and Gloucester county	1987-07-13				t					\N
2454	727	122	60	38		To incorporate a borough in the county of Sussex, to be called the borough of Branchville, and to fix the boundaries thereof.	1898-03-09				t					\N
2455	727	141	46	18		To annex a portion of the township of Morris, in the county of Morris, to the town of Morristown, in said county.	1917-03-14				t					\N
2456	727	116	93	64		To amend an act entitled "An act providing for the formation and government of towns," approved April twenty-fourth, one thousand eight hundred and eighty-eight.	1892-03-10				f					\N
2457	727	92	20	10		To revise and amend the charter of Egg Harbor City.	1868-02-13				f					\N
2458	727	93	1226	512		Supplement to an act entitled "An Act to revise and amend the charter of Atlantic City," approved March thirteenth, eighteen hundred and sixty-six.	1869-04-02				f					\N
2459	727	69	85	0		To establish a new township in the county of Camden, to be called the township of Winslow.	1845-03-08				f					\N
2460	727	152	682	270		Altering and resettling a part of the boundary line between the counties of Monmouth and Ocean, and annexing certain lands to the county of Ocean.	1928-04-03	1928-12-30			t					\N
2461	727	152	401	226		To annex to the borough of Wenonah part of the township of Deptford, in the county of Gloucester.	1928-04-03				t					\N
2462	727	98	517	432		A supplement to an act entitled "An act to incorporate the Borough of Chambersburg, in the Township of Hamilton," approved April second, one thousand eight hundred and seventy-two.	1874-03-27				f					\N
2463	732	169	1021	1		"The Township of Hohokus" changed to "Township of Mahwah."	1945-11-15				f					\N
2464	727	134	344	221		To extend the territorial boundaries of the borough of Avalon, in the county of Cape May, by the annexation of a portion of the township of Middle, in said county.	1910-04-09				t					\N
2465	727	141	114	64		To annex a portion of the township of Pennsauken, in the county of Camden, to the borough of Merchantville, in said county of Camden.	1917-03-19				t					\N
2466	727	113	491	91		A Further Supplement to an act entitled "An act for the improvement of the town of Red Bank, in the county of Monmouth," approved March seventeenth, one thousand eight hundred and seventy.	1889-04-01				t					\N
2467	727	155	38	10		To annex to the township of Gloucester, in the county of Camden, a part of the township of Washington, in the county of Gloucester.	1931-03-03				t					\N
2468	727	147	345	162		To extend the territorial boundaries of the township of Berkeley, in the county of Ocean, by the annexation of a portion of the borough of Beachwood, in said county.	1923-03-21				t					\N
2469	732	154	1219	6		At a special election held in the township of Chester, Morris county, April 25, 1930, "An act to incorporate the borough of Chester," approved April 3, 1930, was adopted.	1930-05-14				f					\N
2470	727	139	250	141		To annex to the borough of Midland Park in the county of Bergen a part of the township of Franklin in the county of Bergen.	1915-03-31				t					\N
2471	727	63	137	0		To set off from the township of Harrington, in the county of Bergen, a new township, to be called the township of Washington.	1839-03-06				f					\N
2472	732	170	1155	2		"The Township of Chester," Burlington County, changed to "Township of Maple Shade."	1945-11-26				f					\N
2473	727	129	267	145		To annex a portion of the borough of North Caldwell to the borough of West Caldwell, in the county of Essex and state of New Jersey.	1905-04-13				t					\N
2474	727	66	162	0		To establish a new township in the county of Mercer, to be called the township of Hamilton.	1842-03-11	1842-04-11			f					\N
2475	727	145	871	303		To amend an act entitled "An act concerning municipalities," approved March twenty-seventh, one thousand nine hundred and seventeen.	1921-04-11				f					\N
2476	732	144	1015	3		"The Inhabitants of the City of Bordentown" changed to "City of Bordentown," [...].	1919-08-11				f					\N
2477	727	122	49	28		To incorporate the borough of Deal, in the county of Monmouth, and fix the boundaries thereof.	1898-03-07				t					\N
2479	727	112	50	37		A Further Supplement to an act entitled "An act for the formation of borough govermnents," approved April fifth, one thousand eight hundred and seventy-eight.	1888-02-15				f					\N
2480	727	123	358	0		To set off territory from the township of Chatham, in the county of Morris, and annex the same to the borough of Madison, in said county.	1899-03-24				t					\N
2481	727	28	244	99		To incorporate parts of the Townships of Roxbury and Pequanack, in the County of Morris, into a separate Township, to be called the Township of Jefferson.	1804-02-11				f					\N
2482	727	55	12	0		To annex part of the township of Gloucester, in the county of Gloucester, to the township of Gloucester-town, and to change the name thereof.	1831-11-15				f					\N
2483	727	133	33	16		To extend the territorial boundaries of the borough of Atlantic Highlands, in the county of Monmouth, by the annexation of a portion of the township of Middletown, in said county.	1909-03-16				t					\N
2484	727	115	543	222		To set off a part of the township of Atlantic, in the county of Monmouth, and annex such portion so set off to the township of Shrewsbury, in the county of Monmouth.	1891-04-14				t					\N
2485	727	127	372	190		To incorporate the municipality heretofore known as the Long Branch commission, in the county of Monmouth, as a city to be known as Long Branch, and to fix the boundaries thereof.	1903-04-08				t					\N
2486	727	22	268	687		For dividing the Township of Great-Egg-Harbour, in the County of Gloucester, into two separate Townships.	1798-02-12				f					\N
2487	727	180	536	129		To annex to the township of Willingboro, in the county of Burlington, certain land and territory, now situate in the township of Westampton, in said county, and to annex to the township of Westampton, in the county of Burlington, certain land and territory now situate in the township of Willingboro, in said county.	1956-07-10				t					\N
2488	727	135	747	358		To annex to the city of Newark, in the county of Essex, a portion of the village of South Orange, in the county of Essex.	1911-05-02				t					\N
2489	727	112	211	167		Amending "An act for the formation of borough commissions," approved March seventh, eighteen hundred and eighty-two.	1888-03-23				f					\N
2491	727	74	184	0		To incorporate the town of Beverly, in the county of Burlington.	1850-03-05				f					\N
2492	732	141	1057	3		"Borough of Garfield" changed to "Mayor and City Council of Garfield," April 19, 1917.					f					\N
2493	727	146	135	73		To incorporate the borough of Hillcrest, in the county of Warren.	1922-03-11				t					\N
2494	727	148	108	57		A Supplement to an act entitled "An act to incorporate 'Brigantine Beach,' in the county of Atlantic, as a city and fix the boundaries thereof," approved April twenty-third, one thousand eight hundred and ninety-seven, providing from changing the name of "Brigantine City" to "Brigantine."	1924-03-06				f					\N
2495	732	148	751	1		"The Mayor and Council of the Borough of North Arlington" changed to "Borough of North Arlington," October 9, 1923.					f					\N
2496	727	117	562	275		To annex to the township of Northampton, in the county of Burlington, a part of the present township of Lumberton, in said county.	1893-03-28				t					\N
2497	727	62	57	0		Further to alter and amend the charter of the city of New Brunswick.	1838-02-14	1838-05-14			f					\N
2498	732	143	779	1		Chapter 122, Laws of 1918, approved February 20, 1918, entitled "An act to incorporate the Borough of Ringwood, in the County of Passaic," was adopted by the Third Election District of the Township of Pompton, Passaic County, March 22, 1918					f					\N
2499	727	83	18	10		To establish a new township in the county of Camden, to be called the township of Stockton.	1859-02-23				f					\N
2500	727	53	45	0		To alter the boundary line between the townships of Green and Byram, in the county of Sussex.	1829-02-05				f					\N
2501	727	119	83	22		Concerning the formation of borough governments.	1895-02-18				f					\N
2502	727	144	612	347		To annex to the borough of Midland Park, in the county of Bergen, a part of the township of Franklin, in the county of Bergen.	1920-04-28				t					\N
2504	727	147	243	117		To enable adjoining municipalities, other than cities, lying in the same county, to consolidate and form a city.	1923-03-20				f					\N
2505	727	144	466	249		To amend an act entitled "An act concerning municipalities," approved March twenty-seventh, one thousand nine hundred and seventeen.	1920-04-20				f					\N
2506	727	22	289	696		Incorporating the Inhabitants of Townships, designating their Powers, and regulating their Meetings.	1798-02-21				f					\N
2507	727	145	450	168		To incorporate the borough of Lakehurst, in the county of Ocean.	1921-04-07				t					\N
2508	727	139	24	6		To annex to the borough of Pennington, in the county of Mercer, certain parts of the township of Hopewell, in the county of Mercer.	1915-02-19				t					\N
2509	727	95	808	325		To provide for the more efficient government of the city of Paterson.	1871-03-23				f					\N
2510	727	95	876	326		To set off from the townships of Union and Dover, in the county of Ocean, a new township to be called the township of Lacey.	1871-03-23				f					\N
2511	727	149	180	60		To amend an act entitled "An act to enable adjoining municipalities, other than cities, lying in the same county, to consolidate and form a city," approved March twentieth, one thousand nine hundred and twenty-three.	1925-03-12				f					\N
2512	727	196:1	445	95		To provide a special charter for the township of Montville in the county of Morris	1974-09-11				f					\N
2513	732	184	999	1		At a Special Election held in the City of Cape May on August 9, 1960, they adopted the Municipal Manager form of government, R. S. 40:80-1 et seq.	1960-08-16				f					\N
2514	732	146	747	1		"The Mayor and Common Council of the Borough of Madison" changed to "Borough of Madison," July 13, 1921.					f					\N
2515	727	148	60	29		To incorporate the borough of Mountain Lakes, county of Morris.	1924-03-03				t					\N
2516	727	149	327	114		To incorporate the borough of Mount Ephraim, in the county of Camden. 	1925-03-13				t					\N
2517	727	96	1311	593		To revise and amend the charter of the town of Harrison.	1872-04-04				f					\N
2518	727	77	344	133		To incorporate the town of Hackettstown, in the township of Independence, in the county of Warren.	1853-03-09				f					\N
2519	727	121	26	14		To incorporate the borough of Chatham, in the county of Morris.	1897-03-01				t					\N
2520	727	126	24	10		A Further Supplement to an act entitled "A general act relating to boroughs [Revision of 1897]," approved April twenty-fourth, one thousand eight hundred and ninety-seven	1902-03-06				f					\N
2521	727	125	66	37		To incorporate the borough of Prospect Park.	1901-03-13				t					\N
2522	727	122	16	5		To incorporate a borough in the county of Hunterdon, to be called the borough of High Bridge.	1898-02-19				t					\N
2523	732	149	775	2		The City of Cape May, at an election held December 30, 1924, adopted "The Municipal Manager Form of Government".	1925-01-05				f					\N
2524	728	200:1	918	3		[Certain elections scheduled for April 6, 1982, suspended until August 13, 1982]	1982-04-06				f					\N
2525	727	129	24	11		To incorporate Port Republic as a city and fix the boundaries thereof.	1905-03-01				t					\N
2526	727	86	178	88		To create from parts of the town of Orange and the townships of Caldwell and Livingston, in the county of Essex, a new township, to be called the township of Fairmount.	1862-03-11				f					\N
2527	732	151	893	3		"The Township of Beverly" changed its name to "The Township of Delanco" [...].	1926-12-20				f					\N
2528	727	85	320	121		Revising and amending the act to incorporate the city of Paterson.	1861-03-14				f					\N
2529	727	82	29	14		To alter the boundary line between Somerset and Middlesex Counties.	1858-02-06				f					\N
2530	727	130	161	101		To incorporate the borough of Roosevelt, in the county of Middlesex.	1906-04-11				t					\N
2531	727	149	21	6		To incorporate the borough of Stratford in the county of Camden.	1925-02-13				t					\N
2532	727	127	249	163		To incorporate the borough of Alpine, in the county of Bergen.	1903-04-08				t					\N
2533	727	141	823	242		To incorporate the borough of Sea Girt, in the county of Monmouth.	1917-03-29				t					\N
2534	727	78	333	124		To incorporate the borough of Woodbury.	1854-03-10				f					\N
2535	727	63	164	0		A Supplement to the act entitled "An act incorporating Jersey City."	1839-03-08				f					\N
2536	727	92	314	148		To incorporate the City of Bergen.	1868-03-11				f					\N
2537	727	127	374	192		To incorporate the borough of Etna, in the county of Bergen.	1903-04-08				t					\N
2538	727	145	242	119		To annex to the borough of Ramsey, in the county of Bergen, a part of the borough of Walwick, in the county of Bergen.	1921-03-31				t					\N
2539	727	87	206	107		To alter the boundary line between the townships of Elizabeth, Union and Linden, in the county of Union.	1863-03-06				f					\N
2540	727	131	692	274		To annex to the town of Montclair, in the county of Essex, a part or portion of the townships of Acquackanonk and Little Falls, in the county of Passaic.	1907-10-28				t					\N
2541	727	150	303	182		To incorporate the borough of Lebanon, in the county of Hunterdon.	1926-03-26				t					\N
2542	727	139	253	142		To incorporate the borough of Wyckoff, in the county of Bergen.	1915-03-31				t					\N
2543	727	72	125	0		To establish a new township in the county of Cumberland, to be called the township of Cohansey.	1848-03-02				f					\N
2544	727	131	425	180		To extend the territorial boundaries of the borough of Sea Side Park, in the county of Ocean, by the annexation of a portion of the township of Berkeley, in said county.	1907-05-13				t					\N
2545	727	94	1070	476		For the Improvement of the Town of Red Bank, in the County of Monmouth.	1870-03-17				f					\N
2546	727	136	359	221		To annex to the borough of Manasquan a part of the township of Wall, in the County of Monmouth.	1912-03-28				t					\N
2547	727	116	487	16		To establish the township of Pennsauken, in the county of Camden.	1892-02-18				t					\N
2548	727	81	430	162		To incorporate the city of Beverly, in the county of Burlington.	1857-03-20	1857-04-13			f					\N
2549	727	68	186	0		To alter and amend the charter of the city of New Brunswick.	1844-03-07	1844-05-13			f					\N
2550	727	108	425	11		To change the name of the township of Upper Alloways Creek in the county of Salem, to the township of Alloway.	1884-02-21				f					\N
2551	727	76	153	68		To annex part of the township of Mansfield to the township of Oxford, in the county of Warren.	1852-03-06				f					\N
2552	727	69	148	0		To reannex a part of the township of Millstone, in the county of Monmouth, to the township of Monroe, in the county of Middlesex.	1845-03-21				f					\N
2553	727	134	420	258		To incorporate the borough of Moonachie, in the county of Bergen.	1910-04-11				t					\N
2554	727	119	886	37		To create a new township in the county of Bergen to be called the township of Teaneck.	1895-02-19				t					\N
2555	727	92	713	304		To set off from the township of Acquackanonk, in the county of Passaic, a new township, to be called the township of Little Falls.	1868-04-02				f					\N
2556	727	137	769	352		To create a new township in the county of Morris to be called the township of Denville, in the county of Morris.	1913-04-14				t					\N
2557	727	55	47	0		Dividing the township of Acquackenonk, in the county of Essex, into two townships.	1831-01-27	1831-04-11			f					\N
2558	727	85	454	153		To create a new township in the county of Hudson, to be called the township of Bayonne.	1861-03-15	1861-04-08			f					\N
2559	727	148	376	165		To annex to the township of Haddon, in the county of Camden, a portion of the borough of Collingswood, in the county of Camden.	1924-03-11				t					\N
2561	727	134	158	108		To incorporate the borough of Flemington, in the county of Hunterdon.	1910-04-07				t					\N
2562	727	74	241	0		To establish a new township in the county of Burlington, to be called the township of Westampton.	1850-03-06				f					\N
2564	727	85	60	33		An additional supplement to an act to incorporate Egg Harbor City.	1861-02-25				f					\N
2566	727	90	314	147		To revise and amend the Charter of Atlantic City.	1866-03-13				f					\N
2567	727	63	46	0		To establish three new townships in the county of Warren, to be called the townships of Hope, Franklin and Harmony, and also to annex a part of the township of Knowlton to the township of Oxford, in said county.	1839-02-15				f					\N
2568	727	121	348	179		To incorporate the borough of Avalon, in the county of Cape May, and fix the boundaries thereof.	1897-05-04				t					\N
2569	727	146	106	56		To incorporate Corbin City and fix the boundaries thereof.	1922-03-11				t					\N
2570	727	141	193	92		To incorporate the borough of Beachwood, in the county of Ocean.	1917-03-22				t					\N
2572	727	102	403	260		For the formation of borough governments.	1878-04-05				f					\N
2573	727	150	140	91		Annexing to the borough of Haddonfield, in the county of Camden, a part of Centre township, in the county of Camden.	1926-03-23				t					\N
2574	727	130	317	172		To consolidate with and annex to the city of Camden, the territory embraced within the borough of Woodlynne, in the county of Camden, provided a majority of the votes cast in said borough upon the question of such annexation and consolidation shall be in favor thereof, and the mayor and common council of said city shall consent thereto.	1906-04-30				f					\N
2575	727	88	597	341		To establish a new township in the county of Burlington, to be called the township of Bass River.	1864-03-30				f					\N
2576	727	55	17	0		To establish a new township in the county of Gloucester, to be called the township of Camden.	1831-11-28	1832-03-01			f					\N
2577	727	142	270	120		To incorporate the borough of Bloomingdale, in the county of Passaic.	1918-02-23				t					\N
2578	727	78	278	112		To incorporate Atlantic City.	1854-03-03	1854-05-01			f					\N
2579	727	150	129	82		To incorporate the borough of Mount Ephraim, in the county of Camden.	1926-03-23				t					\N
2580	727	196:1	510	115		To reestablish part of the boundary line between the township of Freehold and the township of Marlboro in Monmouth county.	1974-10-04				t					\N
2581	727	73	35	0		To alter and amend the charter of the borough of Bordentown, in the county of Burlington.	1849-02-13				f					\N
2582	727	189	124	55		To relocate, fix and establish a portion of the boundary line between the borough of West Caldwell and the borough of Roseland in the county of Essex.	1965-05-24				t					\N
2583	727	88	538	321		To incorporate the City of Bridgeton.	1864-03-29	1865-03-01			f					\N
2584	727	132	110	71		To incorporate the borough of Keyport, in the county of Monmouth.	1908-04-02				t					\N
2585	727	148	18	8		To incorporate the township of Edgewater Park, in the county of Burlington.	1924-02-26				t					\N
2586	727	131	71	37		To incorporate the borough of South Bound Brook.	1907-04-11				t					\N
2588	727	102	232	156		For the formation of borough governments in seaside resorts.	1878-03-29				f					\N
2590	732	158	923	1		"The Mayor and Council of the Borough of Glen Rock" has changed its name to "Borough of Glen Rock."	1934-04-26				f					\N
2591	727	128	17	4		To incorporate the township of Fredon, in the county of Sussex.	1904-02-24				t					\N
2592	727	197:1	506	103		To provide a special charter for the city of Ocean City in the county of Cape May	1976-10-07				f					\N
2595	983	1693	328	4	5 W. & M.	For dividing each County into Township.	1693-10-31J				f					\N
2596	727	81	244	82		To create the county of Union.	1857-03-19				f					\N
2597	727	105	375	40		To transfer certain portions of the townships of Frelinghuysen and Hardwick, in the county of Warren, to the township of Blairstown, in the county of Warren.	1881-02-28				t					\N
2598	727	18	878	443		To set off Part of the Township of Elizabeth, in the County of Essex, into a separate Township.	1794-01-27				f					\N
2600	727	145	239	118		To incorporate the borough of Pompton, in the county of Morris.	1921-03-31				t					\N
2602	727	90	506	209		To incorporate Boonton, in the county of Morris.	1866-03-16				f					\N
2604	732	187	1167	2		At the General Election of November 5, 1963 the name of the Township of Levittown in the County of Burlington was changed to the Township of Willingboro.	1963-11-21				f					\N
2605	727	95	604	250		A Supplement to the act to create the county of Union, approved March nineteenth, one thousand eight hundred and fifty-seven.	1871-03-21				f					\N
2606	727	81	379	136		To create a new township in the county of Essex, to be called the township of Millburn.	1857-03-20				f					\N
2607	732	142	1271	6		"The Mayor and Common Council of the City of Rahway" changed to "The City of Rahway," October 26, 1917.					f					\N
2608	727	89	119	66		To create the township of Haddon out of the township of Newton, in the county of Camden.	1865-02-23				f					\N
2609	727	134	432	266		To annex a portion of the borough of Florham Park, in the county of Morris, to the borough of Chatham.	1910-04-11				t					\N
2610	732	142	1271	5		"The Inhabitants of the City of Burlington" changed to "City of Burlington," September 14, 1917.					f					\N
